Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
154,Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,17,15,7,555,6.2,0,0,0,0,0.00,0.00,0.08,0.02,0.10,0.08,0.10
155,Arthur Atta,FRA,"MF,FW",Metz,Ligue 1,20,21,10,924,10.3,1,2,3,1,0.10,0.19,0.06,0.13,0.18,0.06,0.18
156,Noah Atubolu,GER,GK,Freiburg,Bundesliga,21,34,34,3060,34.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,Pierre-Emerick Aubameyang,GAB,FW,Marseille,Ligue 1,34,34,30,2622,29.1,17,8,25,13,0.58,0.27,0.70,0.19,0.90,0.59,0.79
158,Emil Audero,ITA,GK,Inter,Serie A,26,4,4,337,3.7,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,Tommaso Augello,ITA,DF,Cagliari,Serie A,28,32,28,2418,26.9,1,1,2,1,0.04,0.04,0.02,0.07,0.09,0.02,0.09
160,Carlos Augusto,BRA,DF,Inter,Serie A,24,37,14,1725,19.2,0,3,3,0,0.00,0.16,0.05,0.15,0.20,0.05,0.20
161,Yann Aurel Bisseck,GER,DF,Inter,Serie A,22,16,9,904,10.0,2,0,2,2,0.20,0.00,0.09,0.05,0.14,0.09,0.14
162,Serge Aurier,CIV,"DF,MF",Nott'ham Forest,Premier League,30,12,10,833,9.3,0,2,2,0,0.00,0.22,0.02,0.05,0.07,0.02,0.07
163,Ezequiel Ávila,ARG,"FW,MF",Osasuna,La Liga,29,17,10,864,9.6,1,3,4,1,0.10,0.31,0.21,0.24,0.45,0.21,0.45
164,Ezequiel Ávila,ARG,FW,Betis,La Liga,29,6,4,298,3.3,1,0,1,1,0.30,0.00,0.22,0.02,0.24,0.22,0.24
165,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,25,20,12,1042,11.6,6,3,9,6,0.52,0.26,0.41,0.15,0.56,0.41,0.56
166,André Ayew,GHA,FW,Le Havre,Ligue 1,33,19,12,1104,12.3,5,0,5,5,0.41,0.00,0.25,0.07,0.32,0.25,0.32
167,Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,31,35,30,2543,28.3,4,7,11,4,0.14,0.25,0.14,0.15,0.29,0.14,0.29
168,Neil El Aynaoui,FRA,MF,Lens,Ligue 1,22,25,17,1566,17.4,1,2,3,1,0.06,0.11,0.14,0.05,0.19,0.14,0.19
169,Sardar Azmoun,IRN,"FW,MF",Roma,Serie A,28,23,3,585,6.5,3,0,3,3,0.46,0.00,0.44,0.21,0.65,0.44,0.65
170,César Azpilicueta,ESP,DF,Atlético Madrid,La Liga,33,25,14,1423,15.8,0,2,2,0,0.00,0.13,0.04,0.15,0.19,0.04,0.19
171,Paulo Azzi,BRA,"DF,MF",Cagliari,Serie A,29,25,9,950,10.6,0,0,0,0,0.00,0.00,0.12,0.06,0.18,0.12,0.18
172,Oussama El Azzouzi,MAR,MF,Bologna,Serie A,22,18,5,547,6.1,2,2,4,2,0.33,0.33,0.08,0.09,0.17,0.08,0.17
173,Abdellah Baallal,MAR,MF,Clermont Foot,Ligue 1,18,1,0,4,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174,Iddrisu Baba,GHA,MF,Almería,La Liga,27,25,14,1430,15.9,0,0,0,0,0.00,0.00,0.05,0.04,0.08,0.05,0.08
175,Srđan Babić,SRB,DF,Almería,La Liga,27,1,1,90,1.0,0,0,0,0,0.00,0.00,0.04,0.00,0.04,0.04,0.04
176,Shavy Babicka,GAB,"FW,MF",Toulouse,Ligue 1,23,12,4,373,4.1,1,0,1,1,0.24,0.00,0.14,0.03,0.17,0.14,0.17
177,Aliou Badara Baldé,GUI,"FW,DF",Nice,Ligue 1,20,7,0,69,0.8,0,0,0,0,0.00,0.00,0.17,0.00,0.17,0.17,0.17
178,Loïc Bade,FRA,DF,Sevilla,La Liga,23,28,27,2277,25.3,0,1,1,0,0.00,0.04,0.04,0.02,0.05,0.04,0.05
179,Milan Badelj,CRO,MF,Genoa,Serie A,34,33,32,2535,28.2,1,3,4,1,0.04,0.11,0.05,0.04,0.09,0.05,0.09
180,Matthias Bader,GER,"DF,MF",Darmstadt 98,Bundesliga,26,24,21,1802,20.0,1,2,3,1,0.05,0.10,0.04,0.12,0.15,0.04,0.15
181,Benoît Badiashile,FRA,DF,Chelsea,Premier League,22,18,15,1338,14.9,0,1,1,0,0.00,0.07,0.02,0.10,0.12,0.02,0.12
182,Alex Baena,ESP,"MF,FW",Villarreal,La Liga,22,34,33,2579,28.7,2,14,16,2,0.07,0.49,0.27,0.32,0.60,0.25,0.57
183,Jaime Báez,URU,"FW,MF",Frosinone,Serie A,28,11,6,500,5.6,1,0,1,1,0.18,0.00,0.08,0.10,0.18,0.08,0.18
184,Nicola Bagnolini,ITA,GK,Bologna,Serie A,19,1,0,5,0.1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
185,Leon Bailey,JAM,"MF,FW",Aston Villa,Premier League,25,35,22,2068,23.0,10,9,19,10,0.44,0.39,0.27,0.40,0.67,0.27,0.67
186,Eric Bailly,CIV,DF,Villarreal,La Liga,29,10,9,839,9.3,0,0,0,0,0.00,0.00,0.02,0.00,0.02,0.02,0.02
187,Stefan Bajcetic,ESP,MF,Liverpool,Premier League,18,1,0,26,0.3,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,Nedim Bajrami,ALB,"MF,FW",Sassuolo,Serie A,24,28,15,1310,14.6,2,2,4,2,0.14,0.14,0.17,0.15,0.33,0.17,0.33
189,Cédric Bakambu,COD,FW,Betis,La Liga,32,4,2,194,2.2,0,0,0,0,0.00,0.00,0.20,0.13,0.33,0.20,0.33
190,Tiemoué Bakayoko,FRA,MF,Lorient,Ligue 1,28,20,15,1314,14.6,2,1,3,2,0.14,0.07,0.12,0.03,0.15,0.12,0.15
191,Mitchel Bakker,NED,DF,Atalanta,Serie A,23,14,3,382,4.2,1,0,1,1,0.24,0.00,0.05,0.03,0.08,0.05,0.08
192,Ridle Baku,GER,"DF,MF",Wolfsburg,Bundesliga,25,33,22,2013,22.4,1,0,1,1,0.04,0.00,0.08,0.13,0.21,0.08,0.21
193,Dilane Bakwa,FRA,"FW,MF",Strasbourg,Ligue 1,20,31,25,2177,24.2,3,6,9,3,0.12,0.25,0.13,0.26,0.39,0.13,0.39
194,Tommaso Baldanzi,ITA,"MF,FW",Empoli,Serie A,20,14,8,745,8.3,2,0,2,2,0.24,0.00,0.25,0.13,0.38,0.25,0.38
195,Tommaso Baldanzi,ITA,"FW,MF",Roma,Serie A,20,13,6,518,5.8,0,0,0,0,0.00,0.00,0.15,0.12,0.27,0.15,0.27
196,Alejandro Balde,ESP,DF,Barcelona,La Liga,19,18,15,1378,15.3,0,1,1,0,0.00,0.07,0.01,0.08,0.09,0.01,0.09
197,George Baldock,GRE,DF,Sheffield Utd,Premier League,30,13,11,969,10.8,0,1,1,0,0.00,0.09,0.00,0.07,0.08,0.00,0.08
198,Carlos Baleba,CMR,MF,Brighton,Premier League,19,27,15,1325,14.7,0,0,0,0,0.00,0.00,0.06,0.02,0.08,0.06,0.08
199,Carlos Baleba,CMR,MF,Lille,Ligue 1,19,2,1,61,0.7,0,0,0,0,0.00,0.00,0.05,0.00,0.05,0.05,0.05
200,Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,24,27,26,2271,25.2,2,0,2,2,0.08,0.00,0.03,0.01,0.04,0.03,0.04
201,Iván Balliu,ALB,DF,Rayo Vallecano,La Liga,31,33,32,2873,31.9,0,1,1,0,0.00,0.03,0.02,0.08,0.10,0.02,0.10
202,Fodé Ballo-Touré,SEN,"DF,MF",Fulham,Premier League,26,6,0,71,0.8,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
203,Folarin Balogun,USA,FW,Monaco,Ligue 1,22,29,19,1692,18.8,7,5,12,7,0.37,0.27,0.59,0.18,0.76,0.45,0.63
204,Jonathan Bamba,CIV,"MF,FW",Celta Vigo,La Liga,27,27,24,1981,22.0,3,2,5,3,0.14,0.09,0.14,0.21,0.35,0.14,0.35
205,Mohamed Bamba,CIV,FW,Lorient,Ligue 1,21,16,14,1138,12.6,8,3,11,7,0.63,0.24,0.51,0.16,0.67,0.44,0.61
