,Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp90,Att90,Cmp%,PassTotDist90,PassPrgDist90,xAG,xA,A-xAG,KP90,Pass1/3(90),PPA90,CrsPA90,PrgP90,Touches90,TakeOnAtt90,TakeOnSucc90,Succ%,Carries90,CarriesTotDist90,CarriesPrgDist90,PrgC90,Caries1/3(90),CPA90,Mis90,Dis90,Rec90,PrgR90,TklAPlayers90,TklW90,TklADribblers90,TklAttDri90,Tkl%,Bl90,ShBl90,PassBl90,Int90,Clr90,Err90
1714,1715,Óscar Melendo,ESP,"MF,FW",Granada,La Liga,25.0,26,15,1122,12.5,0,0,0,0,0.0,0.0,0.04,0.04,0.07,0.04,0.07,6,2,33.3,0.48,0.16,0.0,0.0,14.9,0.4,0.4,0.07,-0.4,-0.4,26.24,32.72,80.2,424.08,97.52,0.5,1.0,-0.5,0.88,2.72,0.8,0.0,3.04,40.48,1.84,0.88,47.8,27.76,155.28,63.52,1.68,1.52,0.0,1.76,0.72,30.64,2.64,1.12,0.48,0.32,0.96,33.3,1.04,0.0,1.04,0.4,0.32,0.08
1715,1716,Gonzalo Melero,ESP,"MF,FW",Almería,La Liga,29.0,28,10,1103,12.3,1,1,2,1,0.08,0.08,0.16,0.1,0.26,0.16,0.26,14,4,28.6,1.14,0.33,0.07,0.25,11.7,2.0,2.0,0.14,-1.0,-1.0,30.98,37.8,81.9,465.04,132.76,1.2,0.9,-0.2,0.89,3.58,0.57,0.0,3.98,47.15447154471544,1.4634146341463414,0.5691056910569106,38.9,27.235772357723576,141.3821138211382,74.71544715447153,1.869918699186992,0.8943089430894309,0.2439024390243902,2.113821138211382,1.056910569105691,33.08943089430894,2.6829268292682924,1.14,0.65,0.57,1.54,36.8,0.98,0.33,0.65,0.33,0.89,0.0
1717,1718,Arthur Melo,BRA,MF,Fiorentina,Serie A,26.0,33,23,1986,22.1,2,3,5,1,0.09,0.14,0.05,0.08,0.13,0.01,0.09,11,5,45.5,0.5,0.23,0.09,0.2,28.6,1.0,0.3,0.02,1.0,0.7,62.08,67.96,91.3,1205.61,276.79,1.7,2.3,1.3,1.54,6.47,0.72,0.18,6.02,74.84162895927601,0.9049773755656108,0.4977375565610859,55.0,49.72850678733031,280.49773755656105,108.28054298642532,0.9502262443438914,1.9457013574660635,0.090497737556561,0.6334841628959276,0.6787330316742081,56.24434389140272,1.2217194570135743,2.04,1.36,1.18,1.9,61.9,1.22,0.14,1.09,0.81,0.36,0.0
1718,1719,Memphis,NED,FW,Atlético Madrid,La Liga,29.0,23,9,893,9.9,5,1,6,5,0.5,0.1,0.58,0.18,0.76,0.58,0.76,38,15,39.5,3.83,1.51,0.13,0.33,17.5,5.8,5.8,0.15,-0.8,-0.8,19.7,26.67,73.9,290.61,73.43,1.8,1.6,-0.8,1.31,2.02,0.91,0.2,2.73,41.11111111111111,3.7373737373737375,1.818181818181818,48.6,24.545454545454543,113.73737373737372,50.30303030303031,1.616161616161616,1.1111111111111112,0.7070707070707071,4.242424242424242,2.2222222222222223,32.72727272727273,8.282828282828282,0.51,0.2,0.3,0.61,50.0,0.2,0.0,0.2,0.1,0.0,0.0
1722,1723,Brais Méndez,ESP,"MF,FW",Real Sociedad,La Liga,26.0,32,27,2413,26.8,5,6,11,5,0.19,0.22,0.16,0.16,0.31,0.16,0.31,66,15,22.7,2.46,0.56,0.08,0.33,20.7,4.2,4.2,0.06,0.8,0.8,35.15,46.42,75.7,555.56,157.09,4.2,4.4,1.8,1.49,4.07,1.12,0.19,4.78,58.17164179104478,2.201492537313433,0.8955223880597015,40.7,32.98507462686567,150.37313432835822,70.97014925373134,1.67910447761194,1.4925373134328357,0.5597014925373134,2.126865671641791,1.1194029850746268,41.52985074626866,4.514925373134329,1.57,1.04,0.56,1.6,34.9,0.86,0.15,0.71,0.45,0.78,0.0
1723,1724,Bruno Méndez,URU,DF,Granada,La Liga,23.0,17,15,1333,14.8,2,0,2,2,0.14,0.0,0.04,0.01,0.05,0.04,0.05,8,4,50.0,0.54,0.27,0.25,0.5,15.8,0.6,0.6,0.08,1.4,1.4,30.54,42.97,71.1,578.51,228.04,0.1,0.2,-0.1,0.27,3.04,0.34,0.14,3.18,53.85135135135135,0.4729729729729729,0.4054054054054054,85.7,23.71621621621621,96.89189189189187,51.82432432432432,0.5405405405405405,0.2702702702702702,0.0,0.6081081081081081,0.2702702702702702,26.62162162162162,0.945945945945946,2.43,1.15,1.42,2.5,56.8,1.62,0.41,1.22,1.76,3.04,0.0
1727,1728,Benjamin Mendy,FRA,DF,Lorient,Ligue 1,29.0,15,7,711,7.9,2,1,3,2,0.25,0.13,0.14,0.24,0.38,0.14,0.38,13,4,30.8,1.65,0.51,0.15,0.5,16.6,1.1,1.1,0.08,0.9,0.9,40.25,59.24,67.9,676.08,259.11,1.9,3.0,-0.9,2.03,3.29,2.28,1.65,4.3,68.73417721518987,2.278481012658228,1.1392405063291138,50.0,43.92405063291139,253.0379746835443,118.60759493670884,3.291139240506329,3.5443037974683542,0.1265822784810126,1.5189873417721518,0.6329113924050632,42.78481012658228,10.759493670886076,0.38,0.13,0.13,0.63,20.0,1.01,0.25,0.76,0.89,2.53,0.0
1728,1729,Ferland Mendy,FRA,DF,Real Madrid,La Liga,28.0,23,21,1720,19.1,0,0,0,0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,5,1,20.0,0.26,0.05,0.0,0.0,19.8,0.2,0.2,0.05,-0.2,-0.2,62.88,66.75,94.2,858.43,255.24,0.9,0.7,-0.9,0.58,3.3,0.52,0.05,4.4,73.7696335078534,1.4659685863874343,0.6806282722513088,46.4,44.92146596858638,181.88481675392669,78.7958115183246,0.9947643979057592,1.099476439790576,0.1570680628272251,1.0471204188481675,0.7329842931937173,53.71727748691099,5.026178010471204,0.79,0.52,0.58,0.73,78.6,0.63,0.1,0.52,0.68,1.36,0.05
1729,1730,Formose Mendy,SEN,DF,Lorient,Ligue 1,22.0,18,13,1256,14.0,0,0,0,0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,7,2,28.6,0.5,0.14,0.0,0.0,14.7,0.3,0.3,0.04,-0.3,-0.3,41.93,52.79,79.4,808.79,304.93,0.1,0.3,-0.1,0.14,4.0,0.29,0.07,4.36,64.28571428571429,0.7857142857142857,0.4285714285714285,54.5,40.57142857142857,240.28571428571428,112.07142857142856,1.0,0.6428571428571429,0.0714285714285714,1.0,0.5714285714285714,35.214285714285715,0.9285714285714286,2.36,1.36,1.43,2.36,60.6,1.64,0.86,0.79,1.43,4.21,0.07
1730,1731,Nampalys Mendy,SEN,MF,Lens,Ligue 1,31.0,16,13,1052,11.7,0,1,1,0,0.0,0.09,0.02,0.09,0.11,0.02,0.11,7,2,28.6,0.6,0.17,0.0,0.0,26.5,0.2,0.2,0.03,-0.2,-0.2,49.32,55.81,88.4,812.39,226.32,1.1,1.7,-0.1,0.77,5.81,1.03,0.17,7.18,65.72649572649573,0.7692307692307693,0.2564102564102564,33.3,51.36752136752137,275.3846153846154,117.6923076923077,1.794871794871795,2.5641025641025643,0.0854700854700854,0.9401709401709404,0.3418803418803419,46.239316239316246,1.1111111111111112,2.48,1.54,1.37,1.71,80.0,0.94,0.34,0.6,1.2,1.2,0.09
1731,1732,Teden Mengi,ENG,DF,Luton Town,Premier League,21.0,30,28,2469,27.4,1,0,1,1,0.04,0.0,0.02,0.01,0.03,0.02,0.03,11,4,36.4,0.4,0.15,0.09,0.25,17.6,0.6,0.6,0.05,0.4,0.4,26.57,34.23,77.6,521.39,201.64,0.3,0.6,-0.3,0.22,2.26,0.18,0.0,1.97,47.007299270073,0.4014598540145985,0.2554744525547445,63.6,21.751824817518248,117.59124087591242,60.58394160583942,0.5474452554744526,0.291970802919708,0.072992700729927,0.8029197080291971,0.1824817518248175,22.48175182481752,0.0364963503649635,1.97,0.8,0.69,1.09,63.3,1.42,0.99,0.44,2.08,5.11,0.04
1732,1733,Chris Mepham,WAL,DF,Bournemouth,Premier League,25.0,10,6,617,6.9,0,1,1,0,0.0,0.15,0.01,0.06,0.07,0.01,0.07,1,1,100.0,0.15,0.15,0.0,0.0,8.8,0.1,0.1,0.09,-0.1,-0.1,42.9,52.03,82.5,864.49,288.99,0.4,0.5,0.6,0.43,4.93,0.58,0.0,3.62,62.89855072463768,0.0,0.0,,34.05797101449275,188.9855072463768,106.66666666666666,0.5797101449275363,0.5797101449275363,0.0,0.2898550724637681,0.2898550724637681,35.07246376811594,0.144927536231884,1.74,1.59,1.3,2.03,64.3,1.88,0.87,1.01,1.01,4.35,0.14
1733,1734,Jorge Meré,ESP,DF,Cádiz,La Liga,26.0,10,8,673,7.5,0,0,0,0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,4,1,25.0,0.53,0.13,0.0,0.0,18.2,0.2,0.2,0.04,-0.2,-0.2,22.13,31.07,71.2,480.67,156.4,0.0,0.0,0.0,0.0,2.0,0.13,0.0,2.0,39.73333333333333,0.1333333333333333,0.1333333333333333,100.0,15.333333333333334,56.4,31.6,0.2666666666666666,0.2666666666666666,0.0,0.0,0.1333333333333333,18.266666666666666,0.0,1.07,0.93,0.53,0.93,57.1,0.67,0.4,0.27,1.07,4.4,0.0
1735,1736,Mikel Merino,ESP,MF,Real Sociedad,La Liga,27.0,32,27,2482,27.6,5,3,8,5,0.18,0.11,0.12,0.07,0.19,0.12,0.19,30,11,36.7,1.09,0.4,0.17,0.45,13.9,3.3,3.3,0.11,1.7,1.7,38.99,51.2,76.2,617.68,173.99,1.9,2.8,1.1,0.72,4.42,0.98,0.11,5.91,63.73188405797101,1.4855072463768115,0.8695652173913043,58.5,32.31884057971014,142.97101449275362,62.391304347826086,0.9420289855072465,1.4130434782608694,0.181159420289855,2.210144927536232,1.5217391304347825,43.94927536231884,3.5869565217391304,2.79,1.56,0.8,1.74,45.8,1.3,0.4,0.91,0.58,1.99,0.11
1736,1737,Quentin Merlin,FRA,DF,Marseille,Ligue 1,21.0,10,8,703,7.8,0,1,1,0,0.0,0.13,0.02,0.15,0.16,0.02,0.16,5,1,20.0,0.64,0.13,0.0,0.0,22.6,0.1,0.1,0.03,-0.1,-0.1,46.15,59.62,77.4,886.67,322.44,1.1,1.2,-0.1,1.54,6.15,1.15,0.77,5.9,67.3076923076923,1.153846153846154,0.5128205128205129,44.4,44.48717948717949,268.0769230769231,102.05128205128206,1.9230769230769231,0.7692307692307693,0.5128205128205129,0.8974358974358975,0.7692307692307693,40.76923076923077,7.17948717948718,1.67,1.54,1.03,2.56,40.0,0.51,0.0,0.51,0.77,1.79,0.0
1738,1739,Junior Messias,BRA,"MF,DF",Genoa,Serie A,32.0,18,13,1053,11.7,1,0,1,1,0.09,0.0,0.14,0.11,0.25,0.14,0.25,22,3,13.6,1.88,0.26,0.05,0.33,18.2,1.6,1.6,0.07,-0.6,-0.6,20.94,28.8,72.7,330.0,94.27,1.3,1.2,-1.3,1.28,2.05,1.03,0.43,2.48,41.88034188034188,3.675213675213676,1.3675213675213675,37.2,24.102564102564106,176.83760683760684,97.26495726495727,2.9914529914529915,2.4786324786324787,0.5128205128205129,2.0512820512820515,1.1111111111111112,26.41025641025641,6.410256410256411,2.22,1.71,0.68,1.62,42.1,0.77,0.09,0.68,0.43,1.88,0.0
1746,1747,Georges Mikautadze,GEO,FW,Metz,Ligue 1,22.0,20,20,1747,19.4,13,4,17,10,0.67,0.21,0.49,0.12,0.61,0.37,0.49,55,24,43.6,2.83,1.24,0.18,0.42,17.7,9.5,7.2,0.13,3.5,2.8,15.41,22.16,69.5,232.53,60.93,2.4,1.0,1.6,1.08,1.55,0.67,0.05,2.63,34.48453608247423,5.051546391752578,2.164948453608248,42.9,24.07216494845361,185.1030927835052,81.5979381443299,2.680412371134021,1.8041237113402064,1.2371134020618555,2.2680412371134024,1.288659793814433,22.7319587628866,4.896907216494846,0.21,0.15,0.0,0.46,0.0,0.57,0.0,0.57,0.41,0.15,0.0
1747,1748,Nikola Milenković,SRB,DF,Fiorentina,Serie A,25.0,34,27,2510,27.9,0,0,0,0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,10,3,30.0,0.36,0.11,0.0,0.0,19.9,0.4,0.4,0.04,-0.4,-0.4,48.06,56.77,84.7,980.47,335.56,0.7,0.9,-0.7,0.29,2.62,0.0,0.0,2.9,64.87455197132617,0.1075268817204301,0.07168458781362,66.7,35.98566308243728,166.16487455197134,86.45161290322581,0.2867383512544803,0.4301075268817204,0.03584229390681,0.2150537634408602,0.07168458781362,42.75985663082437,0.3584229390681003,1.47,0.75,0.79,1.29,61.1,0.79,0.5,0.29,0.97,3.41,0.04
1748,1749,Lewis Miley,ENG,MF,Newcastle Utd,Premier League,17.0,17,14,1202,13.4,1,3,4,1,0.07,0.22,0.09,0.13,0.22,0.09,0.22,13,3,23.1,0.97,0.22,0.08,0.33,15.4,1.2,1.2,0.1,-0.2,-0.2,32.91,39.93,82.4,491.04,120.52,1.7,1.4,1.3,0.9,1.94,0.9,0.15,3.96,50.298507462686565,1.2686567164179103,0.5970149253731343,47.1,26.119402985074625,124.17910447761194,48.80597014925373,1.044776119402985,0.5223880597014925,0.4477611940298507,1.1940298507462686,0.7462686567164178,32.46268656716418,4.029850746268656,2.46,1.57,1.12,2.39,46.9,1.49,0.22,1.27,0.6,1.34,0.15
1749,1750,Arkadiusz Milik,POL,FW,Juventus,Serie A,29.0,32,7,919,10.2,4,1,5,4,0.39,0.1,0.5,0.26,0.75,0.5,0.75,37,13,35.1,3.62,1.27,0.11,0.31,13.6,5.1,5.1,0.14,-1.1,-1.1,21.08,26.47,79.6,299.9,43.92,2.6,0.7,-1.6,1.47,0.78,0.78,0.0,2.16,38.333333333333336,0.9803921568627452,0.4901960784313726,50.0,23.725490196078432,87.64705882352942,32.450980392156865,1.1764705882352942,0.7843137254901962,0.2941176470588235,2.9411764705882355,1.1764705882352942,31.27450980392157,4.803921568627452,0.88,0.49,0.29,0.49,60.0,0.69,0.1,0.59,0.49,0.29,0.0
1752,1753,Luis Milla,ESP,MF,Getafe,La Liga,28.0,27,25,2115,23.5,0,1,1,0,0.0,0.04,0.03,0.07,0.1,0.03,0.1,16,5,31.3,0.68,0.21,0.0,0.0,25.1,0.6,0.6,0.04,-0.6,-0.6,43.02,54.17,79.4,821.02,238.17,1.7,2.1,-0.7,1.23,5.96,0.43,0.26,5.15,63.14893617021277,1.446808510638298,0.4680851063829787,32.4,29.06382978723404,152.12765957446808,72.34042553191489,1.319148936170213,1.1063829787234043,0.0,1.1063829787234043,0.723404255319149,35.702127659574465,1.4893617021276595,2.43,1.4,1.19,2.0,59.6,0.85,0.04,0.81,1.36,0.43,0.0
1753,1754,Enzo Millot,FRA,"MF,FW",Stuttgart,Bundesliga,21.0,31,27,2241,24.9,5,4,9,4,0.2,0.16,0.21,0.16,0.37,0.18,0.34,38,17,44.7,1.53,0.68,0.11,0.24,19.4,5.3,4.5,0.12,-0.3,-0.5,49.72,58.47,85.0,711.12,167.55,3.9,5.3,0.1,1.33,3.9,1.24,0.16,5.1,69.63855421686748,3.534136546184739,1.847389558232932,52.3,39.036144578313255,193.77510040160644,74.97991967871486,1.847389558232932,1.6465863453815262,0.5622489959839357,2.771084337349398,1.3654618473895583,55.140562248995984,6.706827309236949,1.61,0.88,0.72,1.57,46.2,0.96,0.08,0.88,0.64,0.28,0.04
1754,1755,James Milner,ENG,"DF,MF",Brighton,Premier League,37.0,15,11,773,8.6,0,2,2,0,0.0,0.23,0.03,0.21,0.24,0.03,0.24,5,1,20.0,0.58,0.12,0.0,0.0,17.2,0.3,0.3,0.06,-0.3,-0.3,57.21,68.02,84.1,886.28,290.23,1.8,1.7,0.2,1.86,5.35,1.98,0.7,8.02,78.48837209302326,0.9302325581395348,0.3488372093023256,37.5,45.93023255813954,143.02325581395348,65.34883720930233,1.2790697674418603,0.6976744186046512,0.4651162790697674,1.2790697674418603,0.6976744186046512,53.13953488372093,8.488372093023257,2.33,1.63,1.05,1.63,64.3,1.05,0.0,1.05,0.93,1.86,0.0
1757,1758,Kim Min-jae,KOR,DF,Bayern Munich,Bundesliga,26.0,25,22,1970,21.9,1,1,2,1,0.05,0.05,0.04,0.02,0.05,0.04,0.05,10,3,30.0,0.46,0.14,0.1,0.33,10.4,0.8,0.8,0.08,0.2,0.2,90.68,97.67,92.8,1532.01,600.18,0.4,0.5,0.6,0.37,5.89,0.09,0.0,5.98,107.3972602739726,0.091324200913242,0.091324200913242,100.0,61.82648401826484,292.92237442922374,160.91324200913243,0.6392694063926941,0.4566210045662101,0.0,0.228310502283105,0.228310502283105,78.99543378995435,0.136986301369863,1.69,1.1,0.55,1.1,50.0,1.32,0.87,0.46,2.05,3.2,0.09
1759,1760,Yerry Mina,COL,DF,Cagliari,Serie A,28.0,14,14,1215,13.5,2,0,2,1,0.15,0.0,0.1,0.0,0.1,0.04,0.04,2,1,50.0,0.15,0.07,0.5,1.0,17.2,1.3,0.5,0.25,0.7,0.5,33.19,41.63,79.7,690.44,246.15,0.0,0.2,0.0,0.0,1.11,0.3,0.07,1.7,52.81481481481482,0.2222222222222222,0.1481481481481481,66.7,24.96296296296296,142.59259259259258,79.11111111111111,0.2962962962962963,0.0,0.0,0.7407407407407407,0.0,26.96296296296296,0.2222222222222222,1.48,0.96,0.96,1.41,68.4,1.7,1.04,0.67,0.3,5.7,0.0
1760,1761,Takumi Minamino,JPN,MF,Monaco,Ligue 1,28.0,30,25,2117,23.5,9,6,15,9,0.38,0.26,0.25,0.21,0.46,0.25,0.46,60,28,46.7,2.55,1.19,0.15,0.32,17.1,5.9,5.9,0.1,3.1,3.1,27.49,37.66,73.0,407.4,116.6,4.9,4.3,1.1,1.45,2.26,1.53,0.13,4.13,48.93617021276596,1.7872340425531914,0.6382978723404256,35.7,36.765957446808514,214.6382978723404,83.36170212765957,2.042553191489361,1.872340425531915,0.8085106382978723,2.5531914893617023,0.9361702127659576,35.234042553191486,8.425531914893616,1.45,0.72,0.68,2.3,29.6,1.23,0.04,1.19,0.47,0.34,0.0
1761,1762,Lucas Mincarelli,FRA,"DF,MF",Montpellier,Ligue 1,19.0,13,12,978,10.9,1,1,2,1,0.09,0.09,0.03,0.05,0.09,0.03,0.09,6,3,50.0,0.55,0.28,0.17,0.33,17.9,0.4,0.4,0.06,0.6,0.6,29.91,40.18,74.4,488.62,182.94,0.6,0.8,0.4,0.37,1.28,0.64,0.18,2.39,52.477064220183486,2.018348623853211,0.7339449541284403,36.4,28.623853211009173,197.79816513761463,91.55963302752292,2.201834862385321,2.477064220183486,0.091743119266055,1.0091743119266054,1.3761467889908257,25.321100917431192,3.6697247706422016,2.66,1.47,1.56,3.12,50.0,1.56,0.37,1.19,0.73,2.48,0.0
1763,1764,Óscar Mingueza,ESP,"DF,MF",Celta Vigo,La Liga,24.0,38,33,2998,33.3,2,2,4,2,0.06,0.06,0.08,0.12,0.2,0.08,0.2,28,13,46.4,0.84,0.39,0.07,0.15,20.4,2.6,2.6,0.09,-0.6,-0.6,44.38,59.07,75.1,725.68,351.71,3.9,6.2,-1.9,1.44,5.08,1.65,0.51,5.11,68.67867867867868,2.3423423423423424,1.0810810810810811,46.2,39.42942942942943,193.993993993994,104.80480480480482,2.2222222222222223,2.2822822822822824,0.2702702702702703,0.930930930930931,0.7807807807807808,44.98498498498499,4.024024024024024,1.86,1.14,1.11,2.4,46.3,1.14,0.21,0.93,0.51,1.47,0.06
1764,1765,Ignasi Miquel,ESP,DF,Granada,La Liga,30.0,34,33,2992,33.2,1,1,2,1,0.03,0.03,0.04,0.04,0.08,0.04,0.08,22,8,36.4,0.66,0.24,0.05,0.13,12.7,1.4,1.4,0.06,-0.4,-0.4,38.1,46.66,81.7,755.51,287.35,1.2,0.8,-0.2,0.36,2.17,0.15,0.0,2.5,56.89759036144578,0.4819277108433734,0.2409638554216867,50.0,30.933734939759034,134.33734939759034,66.20481927710843,0.2409638554216867,0.180722891566265,0.0301204819277108,0.6325301204819277,0.1204819277108433,34.51807228915662,0.2409638554216867,1.42,0.9,0.69,1.2,57.5,0.96,0.48,0.48,1.36,3.98,0.12
1767,1768,Aleksei Miranchuk,RUS,"MF,FW",Atalanta,Serie A,27.0,27,12,1176,13.1,3,5,8,3,0.23,0.38,0.41,0.31,0.72,0.41,0.72,37,21,56.8,2.83,1.61,0.08,0.14,16.4,5.4,5.4,0.15,-2.4,-2.4,34.66,47.48,73.0,586.03,176.79,4.1,4.5,0.9,3.44,3.13,2.21,0.69,5.73,59.9236641221374,3.740458015267176,1.297709923664122,34.7,37.40458015267176,228.4732824427481,108.4732824427481,3.1297709923664123,2.67175572519084,0.7633587786259542,2.8244274809160306,1.1450381679389314,45.87786259541985,9.312977099236642,0.92,0.46,0.38,0.99,38.5,0.46,0.08,0.38,0.15,0.38,0.08
1768,1769,Juan Miranda,ESP,DF,Betis,La Liga,23.0,25,21,1858,20.6,1,1,2,1,0.05,0.05,0.08,0.09,0.17,0.08,0.17,16,6,37.5,0.78,0.29,0.06,0.17,18.6,1.6,1.6,0.11,-0.6,-0.6,44.32,56.6,78.3,760.58,363.93,1.9,2.4,-0.9,1.12,3.11,1.55,0.44,5.0,67.18446601941747,0.9223300970873786,0.3398058252427184,36.8,31.747572815533974,121.26213592233007,63.883495145631066,1.699029126213592,1.1650485436893203,0.145631067961165,1.0679611650485437,0.2427184466019417,38.300970873786405,4.6116504854368925,1.84,1.17,0.83,1.5,54.8,1.5,0.29,1.21,0.92,3.01,0.0
1771,1772,Fabio Miretti,ITA,MF,Juventus,Serie A,19.0,25,16,1103,12.3,1,1,2,1,0.08,0.08,0.1,0.09,0.19,0.1,0.19,20,3,15.0,1.63,0.24,0.05,0.33,20.4,1.2,1.2,0.06,-0.2,-0.2,27.97,36.5,76.6,472.76,118.13,1.1,1.2,-0.1,1.95,2.52,0.98,0.16,3.5,49.105691056910565,3.414634146341464,1.7073170731707317,50.0,29.43089430894309,164.71544715447155,81.46341463414633,1.7886178861788615,1.3821138211382114,0.5691056910569106,2.7642276422764227,2.032520325203252,32.4390243902439,5.0406504065040645,1.46,1.14,0.81,2.11,38.5,0.81,0.08,0.73,0.57,0.49,0.0
1773,1774,Tyrick Mitchell,ENG,"DF,MF",Crystal Palace,Premier League,23.0,37,37,3204,35.6,2,3,5,2,0.06,0.08,0.04,0.08,0.12,0.04,0.12,12,4,33.3,0.34,0.11,0.17,0.5,12.4,1.6,1.6,0.13,0.4,0.4,33.06,45.7,72.3,522.13,222.67,2.8,2.4,0.2,0.67,2.08,0.81,0.34,2.64,57.24719101123596,1.0393258426966292,0.5056179775280899,48.6,22.97752808988764,91.37640449438202,43.93258426966292,0.898876404494382,0.6460674157303371,0.2528089887640449,1.2921348314606742,0.7865168539325842,27.5,4.466292134831461,2.95,1.69,1.21,1.69,71.7,1.77,0.28,1.49,0.73,2.92,0.0
1774,1775,Kaoru Mitoma,JPN,FW,Brighton,Premier League,26.0,19,15,1486,16.5,3,4,7,3,0.18,0.24,0.21,0.16,0.37,0.21,0.37,34,15,44.1,2.06,0.91,0.09,0.2,13.2,3.5,3.5,0.1,-0.5,-0.5,30.85,39.39,78.3,376.36,90.06,2.7,3.6,1.3,1.52,1.39,2.06,0.3,3.88,51.63636363636363,5.696969696969697,2.363636363636364,41.5,37.333333333333336,295.6969696969697,190.72727272727272,7.333333333333333,3.272727272727273,3.757575757575758,2.303030303030303,0.9090909090909092,41.03030303030303,14.484848484848484,0.79,0.36,0.3,1.15,26.3,0.91,0.06,0.85,0.3,0.73,0.0
1777,1778,Stefan Mitrović,SRB,DF,Getafe,La Liga,33.0,11,9,699,7.8,1,0,1,1,0.13,0.0,0.01,0.04,0.05,0.01,0.05,1,1,100.0,0.13,0.13,1.0,1.0,8.7,0.1,0.1,0.09,0.9,0.9,24.49,32.18,76.1,535.64,202.69,0.3,0.3,-0.3,0.26,2.05,0.13,0.0,2.44,39.23076923076923,0.5128205128205129,0.2564102564102564,50.0,17.94871794871795,100.0,58.58974358974359,0.5128205128205129,0.0,0.0,0.3846153846153846,0.0,18.205128205128204,0.2564102564102564,1.15,0.38,0.51,1.03,50.0,0.38,0.26,0.13,0.77,3.33,0.0
1778,1779,Maximilian Mittelstädt,GER,DF,Stuttgart,Bundesliga,26.0,31,23,2103,23.4,2,4,6,2,0.09,0.17,0.04,0.18,0.22,0.04,0.22,21,6,28.6,0.9,0.26,0.1,0.33,23.3,0.9,0.9,0.04,1.1,1.1,61.84,72.99,84.7,937.48,282.18,4.2,6.7,-0.2,1.28,4.57,1.41,0.85,5.26,87.22222222222223,2.5641025641025643,1.5384615384615383,60.0,45.12820512820513,224.95726495726495,115.8974358974359,2.9914529914529915,2.4786324786324787,0.2564102564102564,1.2820512820512822,0.8974358974358975,57.13675213675214,5.512820512820513,3.89,2.18,2.26,3.8,59.6,1.54,0.26,1.28,1.97,2.78,0.0
1779,1780,Henrikh Mkhitaryan,ARM,MF,Inter,Serie A,34.0,36,35,2785,30.9,2,8,10,2,0.06,0.26,0.12,0.15,0.26,0.12,0.26,39,6,15.4,1.26,0.19,0.05,0.33,19.5,3.6,3.6,0.09,-1.6,-1.6,47.02,54.34,86.5,713.11,185.37,4.5,4.3,3.5,1.29,4.76,1.49,0.03,6.21,64.14239482200648,1.2297734627831716,0.6148867313915858,50.0,38.54368932038835,217.15210355987057,115.95469255663431,2.9773462783171523,2.4919093851132685,0.4207119741100323,1.2621359223300972,0.6148867313915858,47.63754045307444,4.110032362459547,2.01,1.1,0.78,1.59,49.0,0.74,0.13,0.61,0.94,1.39,0.0
1781,1782,Jakub Moder,POL,"MF,DF",Brighton,Premier League,24.0,17,6,618,6.9,0,0,0,0,0.0,0.0,0.08,0.11,0.2,0.08,0.2,11,3,27.3,1.6,0.44,0.0,0.0,17.8,0.6,0.6,0.05,-0.6,-0.6,35.22,44.06,79.9,472.9,131.59,0.8,0.8,-0.8,0.58,2.17,0.43,0.0,3.33,56.23188405797101,1.7391304347826086,0.8695652173913043,50.0,31.594202898550723,142.75362318840578,61.30434782608695,1.4492753623188406,1.1594202898550725,0.2898550724637681,1.5942028985507246,0.8695652173913043,37.53623188405797,3.768115942028986,2.75,1.45,1.3,2.61,50.0,1.16,0.29,0.87,0.29,1.74,0.0
1782,1783,Luka Modrić,CRO,MF,Real Madrid,La Liga,37.0,32,18,1688,18.8,2,6,8,2,0.11,0.32,0.07,0.3,0.37,0.07,0.37,25,10,40.0,1.33,0.53,0.08,0.2,21.9,1.3,1.3,0.05,0.7,0.7,77.23,88.78,87.0,1254.1,383.88,5.5,4.8,0.5,2.93,8.62,2.23,0.21,10.43,96.38297872340424,2.3936170212765955,1.1170212765957446,46.7,63.93617021276596,322.9255319148936,148.67021276595744,2.8191489361702127,3.0319148936170213,0.6914893617021276,0.6382978723404255,1.0106382978723405,75.90425531914893,4.5212765957446805,1.17,0.8,0.48,1.33,36.0,0.69,0.21,0.48,1.12,0.48,0.0
