Rk,Touches90,TakeOnAtt90,TakeOnSucc90,Succ%,Carries90,CarriesTotDist90,CarriesPrgDist90,PrgC90,Caries1/3(90),CPA90,Mis90,Dis90,Rec90,PrgR90
1368,79.60199004975124,1.990049751243781,1.144278606965174,57.5,47.41293532338308,268.5572139303482,143.28358208955223,2.388059701492537,1.7412935323383083,0.1990049751243781,0.5970149253731343,0.7462686567164178,57.41293532338308,1.144278606965174
1369,60.445544554455445,1.3366336633663367,0.297029702970297,22.2,30.396039603960396,179.15841584158417,99.60396039603961,3.1683168316831685,2.5742574257425743,0.5445544554455446,1.4851485148514851,0.7920792079207921,35.64356435643565,4.702970297029703
1370,50.909090909090914,2.396694214876033,0.7438016528925621,31.0,29.834710743801654,121.40495867768595,37.603305785123965,0.9917355371900827,0.9917355371900827,0.4132231404958678,3.9669421487603307,2.396694214876033,38.925619834710744,9.090909090909092
1371,55.05494505494506,1.098901098901099,0.7692307692307693,70.0,27.362637362637365,185.05494505494505,77.25274725274726,1.7582417582417582,0.7692307692307693,0.10989010989010989,0.8791208791208791,0.10989010989010989,31.42857142857143,0.5494505494505495
1372,53.22916666666667,1.0416666666666667,0.8333333333333334,80.0,30.520833333333336,181.45833333333334,73.4375,1.0416666666666667,1.1458333333333335,0.3125,1.7708333333333335,0.3125,26.25,3.0208333333333335
1373,38.0,0.0,0.0,,18.666666666666668,82.33333333333333,40.0,0.0,0.0,0.0,0.0,0.0,17.333333333333332,0.0
1374,58.285714285714285,0.8571428571428571,0.8571428571428571,100.0,34.857142857142854,184.28571428571428,88.28571428571429,2.2857142857142856,0.8571428571428571,0.2857142857142857,0.8571428571428571,1.1428571428571428,30.571428571428573,6.0
1375,94.44099378881987,1.1801242236024843,0.49689440993788814,42.1,59.3167701863354,290.3726708074534,185.12422360248445,2.0807453416149064,2.0807453416149064,0.06211180124223602,0.7763975155279502,0.37267080745341613,67.91925465838509,1.9875776397515525
1376,53.97196261682243,0.14018691588785048,0.14018691588785048,100.0,32.89719626168225,175.37383177570095,82.85046728971963,0.1869158878504673,0.14018691588785048,0.04672897196261683,0.7009345794392524,0.09345794392523366,29.065420560747665,0.14018691588785048
1377,45.0,0.8333333333333334,0.4166666666666667,50.0,15.416666666666668,46.66666666666667,19.166666666666668,0.0,0.4166666666666667,0.0,1.25,1.25,20.0,2.0833333333333335
1378,98.19767441860465,1.8604651162790697,1.1627906976744187,62.5,66.33720930232559,354.1279069767442,158.8953488372093,2.1511627906976747,2.9651162790697674,0.05813953488372093,0.9302325581395349,1.3953488372093024,83.19767441860465,2.2093023255813953
1379,46.029411764705884,1.3235294117647058,0.29411764705882354,22.2,24.264705882352942,79.26470588235294,29.558823529411764,0.5882352941176471,0.0,0.14705882352941177,1.3235294117647058,0.8823529411764706,30.88235294117647,3.5294117647058822
1380,19.0,0.0,0.0,,8.0,45.0,38.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
1381,37.857142857142854,0.7142857142857143,0.47619047619047616,66.7,18.333333333333332,82.38095238095238,20.952380952380953,1.1904761904761905,0.23809523809523808,0.7142857142857143,4.285714285714286,1.1904761904761905,29.76190476190476,6.19047619047619
1382,65.44554455445545,0.594059405940594,0.297029702970297,50.0,35.445544554455445,157.22772277227725,71.2871287128713,1.188118811881188,0.8910891089108911,0.09900990099009901,0.7920792079207921,0.297029702970297,41.881188118811885,3.2673267326732676
1383,40.65789473684211,0.7894736842105263,0.32894736842105265,41.7,18.88157894736842,111.05263157894737,55.06578947368421,0.986842105263158,1.0526315789473684,0.06578947368421052,0.986842105263158,0.7894736842105263,22.236842105263158,2.697368421052632
1384,55.98360655737705,2.0901639344262297,1.0245901639344264,49.0,33.278688524590166,197.66393442622953,99.42622950819673,2.9098360655737707,2.0081967213114753,0.9836065573770493,1.9262295081967213,1.1065573770491803,39.18032786885246,7.172131147540984
1385,81.07142857142858,3.5714285714285716,1.4285714285714286,40.0,45.714285714285715,205.35714285714286,100.0,3.5714285714285716,1.0714285714285714,1.4285714285714286,1.0714285714285714,1.4285714285714286,50.0,2.857142857142857
1386,100.0,1.6666666666666667,0.0,0.0,63.333333333333336,366.6666666666667,180.0,0.0,1.6666666666666667,0.0,1.6666666666666667,3.3333333333333335,70.0,11.666666666666668
1387,57.8,0.8,0.2,25.0,23.2,116.4,53.2,0.8,0.8666666666666667,0.26666666666666666,1.8,0.8666666666666667,27.866666666666667,1.9333333333333333
1388,62.52577319587629,0.8762886597938145,0.3608247422680413,41.2,29.43298969072165,104.1237113402062,47.11340206185567,0.8247422680412372,0.4639175257731959,0.30927835051546393,0.7216494845360826,0.2577319587628866,39.175257731958766,5.927835051546392
1389,48.24034334763948,0.4291845493562232,0.4291845493562232,100.0,20.34334763948498,113.30472103004291,52.918454935622314,0.8583690987124464,0.4291845493562232,0.04291845493562232,0.7296137339055794,0.2145922746781116,23.00429184549356,0.12875536480686695
1390,112.54237288135593,0.3389830508474576,0.211864406779661,62.5,74.4915254237288,339.8305084745763,177.5,1.3559322033898304,2.1610169491525424,0.0423728813559322,0.3389830508474576,0.2542372881355932,90.16949152542372,1.2288135593220337
1391,32.72727272727273,2.3106060606060606,1.0984848484848486,47.5,18.37121212121212,80.83333333333334,32.159090909090914,1.2121212121212122,0.7954545454545455,0.6439393939393939,3.8636363636363638,1.4772727272727273,24.28030303030303,4.772727272727273
1392,65.39473684210526,0.2631578947368421,0.2631578947368421,100.0,37.36842105263158,168.1578947368421,73.15789473684211,0.6578947368421053,0.9210526315789475,0.0,1.0526315789473684,0.39473684210526316,43.94736842105263,0.39473684210526316
1393,61.170731707317074,0.4878048780487805,0.14634146341463414,30.0,27.024390243902438,116.34146341463415,47.853658536585364,0.6341463414634146,0.6829268292682927,0.0,0.34146341463414637,0.2926829268292683,30.0,1.5609756097560976
1394,48.57740585774059,4.895397489539749,2.3012552301255234,47.0,31.171548117154813,265.02092050209205,141.33891213389123,5.6903765690376575,2.384937238493724,2.6359832635983267,2.5104602510460254,1.1297071129707115,34.76987447698745,9.665271966527197
1395,inf,,,,inf,inf,,,,,,,inf,
1396,47.5,8.007246376811594,4.492753623188405,56.1,32.7536231884058,249.05797101449275,116.84782608695652,4.239130434782608,2.2463768115942027,1.4492753623188406,2.898550724637681,3.369565217391304,33.91304347826087,7.826086956521738
1397,30.0,0.0,0.0,,30.0,330.0,280.0,10.0,0.0,10.0,10.0,0.0,20.0,0.0
1398,52.86644951140065,4.201954397394137,1.7589576547231272,41.9,38.078175895765476,250.1628664495114,125.60260586319218,4.9185667752443,1.986970684039088,2.6710097719869705,2.801302931596091,2.1172638436482085,40.03257328990228,12.63843648208469
1399,70.58252427184466,1.9417475728155338,0.6796116504854368,35.0,48.543689320388346,259.5145631067961,134.36893203883494,1.8446601941747571,2.1359223300970873,0.3883495145631068,1.9417475728155338,0.6796116504854368,43.78640776699029,7.281553398058252
1400,36.0,0.0,0.0,,15.75,87.0,56.0,0.5,0.0,0.0,0.0,0.0,18.5,0.0
1401,inf,,,,,,,,,,,,inf,
1402,140.0,10.0,0.0,0.0,100.0,510.0,270.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0
