,,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
18,17.0,18,Bénie Adama Traore,ci CIV,"FW,MF",Nantes,fr Ligue 1,20,2002,5.6,0,7,4,57.1,1.25,0.71,0.00,0.00,18.7,1,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
19,18.0,19,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,2000,25.0,8,79,32,40.5,3.16,1.28,0.10,0.25,14.5,0,0,0,12.4,12.4,0.16,-4.4,-4.4,Matches
20,19.0,20,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24,1999,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,20.0,21,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22,2001,1.2,0,2,1,50.0,1.71,0.86,0.00,0.00,12.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
22,21.0,22,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30,1993,8.9,1,31,13,41.9,3.48,1.46,0.03,0.08,12.4,0,0,0,4.1,4.1,0.13,-3.1,-3.1,Matches
23,22.0,23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,1997,18.0,2,14,5,35.7,0.78,0.28,0.14,0.40,14.2,0,0,0,0.7,0.7,0.05,+1.3,+1.3,Matches
24,23.0,24,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,15.8,10,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,5.9,5.9,0.19,+4.1,+4.1,Matches
25,24.0,25,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,10.1,3,23,10,43.5,2.27,0.99,0.13,0.30,14.6,0,0,0,3.5,3.5,0.15,-0.5,-0.5,Matches
26,25.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
27,26.0,26,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,21,2002,24.7,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,4.3,4.3,0.08,+1.7,+1.7,Matches
28,27.0,27,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,2002,13.8,0,4,0,0.0,0.29,0.00,0.00,,8.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
