,,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2221,2220.0,2136,Alassane Pléa,fr FRA,"FW,MF",Gladbach,de Bundesliga,30,1993,21.3,7,57,18,31.6,2.68,0.85,0.11,0.33,17.6,0,1,1,7.0,6.2,0.11,0.0,-0.2,Matches
2222,2221.0,2137,Tommaso Pobega,it ITA,MF,Milan,it Serie A,24,1999,3.5,0,5,4,80.0,1.41,1.13,0.00,0.00,16.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
2223,2222.0,2138,Paul Pogba,fr FRA,MF,Juventus,it Serie A,30,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2224,2223.0,2139,Ole Pohlmann,de GER,MF,Dortmund,de Bundesliga,22,2001,0.6,0,1,0,0.0,1.67,0.00,0.00,,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
2225,2224.0,2140,Matteo Politano,it ITA,FW,Napoli,it Serie A,29,1993,26.2,8,72,15,20.8,2.75,0.57,0.08,0.40,21.5,4,2,3,7.1,4.8,0.07,+0.9,+1.2,Matches
2226,2225.0,2141,Sebastian Polter,de GER,FW,Darmstadt 98,de Bundesliga,32,1991,5.0,0,10,3,30.0,2.02,0.61,0.00,0.00,11.9,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches
2227,2226.0,2142,Julien Ponceau,fr FRA,MF,Lorient,fr Ligue 1,22,2000,24.9,3,33,13,39.4,1.32,0.52,0.09,0.23,19.9,0,0,0,3.3,3.3,0.10,-0.3,-0.3,Matches
2228,2227.0,2143,Marin Pongračić,hr CRO,DF,Lecce,it Serie A,25,1997,35.8,0,13,3,23.1,0.36,0.08,0.00,0.00,13.5,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
2229,2228.0,2144,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,31,1992,14.9,0,1,0,0.0,0.07,0.00,0.00,,14.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
2230,2229.0,2145,Pedro Porro,es ESP,DF,Tottenham,eng Premier League,23,1999,34.3,3,53,12,22.6,1.54,0.35,0.06,0.25,21.0,4,0,0,2.9,2.9,0.06,+0.1,+0.1,Matches
2231,2230.0,2146,Portu,es ESP,FW,Getafe,es La Liga,31,1992,1.1,0,1,1,100.0,0.93,0.93,0.00,0.00,8.5,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
2232,2231.0,2147,Portu,es ESP,"MF,FW",Girona,es La Liga,31,1992,13.2,7,21,10,47.6,1.59,0.76,0.33,0.70,11.5,0,0,0,3.4,3.4,0.16,+3.6,+3.6,Matches
2233,2232.0,2148,Stefan Posch,at AUT,DF,Bologna,it Serie A,26,1997,26.8,1,18,4,22.2,0.67,0.15,0.06,0.25,19.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
2234,2233.0,2149,Yussuf Poulsen,dk DEN,FW,RB Leipzig,de Bundesliga,29,1994,13.5,5,29,16,55.2,2.14,1.18,0.17,0.31,10.6,0,0,0,5.7,5.7,0.20,-0.7,-0.7,Matches
2235,2234.0,2150,José Pozo,es ESP,MF,Rayo Vallecano,es La Liga,27,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2236,2235.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2237,2236.0,2151,Alejandro Pozo Pozo,es ESP,"DF,MF",Almería,es La Liga,24,1999,10.8,0,4,3,75.0,0.37,0.28,0.00,0.00,23.3,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
2238,2237.0,2152,Beñat Prados,es ESP,"MF,DF",Athletic Club,es La Liga,22,2001,16.1,0,7,4,57.1,0.43,0.25,0.00,0.00,18.5,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
2239,2238.0,2153,Matteo Prati,it ITA,MF,Cagliari,it Serie A,19,2003,21.9,1,36,10,27.8,1.64,0.46,0.03,0.10,22.6,2,0,0,2.0,2.0,0.06,-1.0,-1.0,Matches
2240,2239.0,2154,Abdón Prats,es ESP,"FW,MF",Mallorca,es La Liga,30,1992,14.1,6,33,14,42.4,2.34,0.99,0.18,0.43,14.8,2,0,0,3.2,3.2,0.10,+2.8,+2.8,Matches
2241,2240.0,2155,Sanjin Prcić,ba BIH,MF,Strasbourg,fr Ligue 1,29,1993,1.0,0,1,0,0.0,1.02,0.00,0.00,,27.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
2242,2241.0,2156,Grischa Prömel,de GER,MF,Hoffenheim,de Bundesliga,28,1995,23.8,4,26,8,30.8,1.09,0.34,0.15,0.50,15.5,0,0,0,3.8,3.8,0.15,+0.2,+0.2,Matches
2243,2242.0,2157,Ivan Provedel,it ITA,GK,Lazio,it Serie A,29,1994,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2244,2243.0,2158,Pubill,es ESP,DF,Almería,es La Liga,20,2003,20.9,1,20,5,25.0,0.96,0.24,0.05,0.20,20.8,0,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches
2245,2244.0,2159,Gustavo Puerta,co COL,"DF,MF",Leverkusen,de Bundesliga,20,2003,0.5,0,2,0,0.0,3.91,0.00,0.00,,24.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
2246,2245.0,2160,Antonio Puertas,es ESP,"MF,FW",Granada,es La Liga,31,1992,8.1,0,17,4,23.5,2.10,0.49,0.00,0.00,16.0,0,0,2,3.2,1.6,0.09,-3.2,-1.6,Matches
2247,2246.0,2161,Arnau Puigmal,es ESP,"FW,DF",Almería,es La Liga,22,2001,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2248,2247.0,2162,Christian Pulisic,us USA,"FW,MF",Milan,it Serie A,24,1998,28.9,12,65,31,47.7,2.25,1.07,0.18,0.39,15.7,0,0,0,8.0,8.0,0.12,+4.0,+4.0,Matches
2249,2248.0,2163,George Pușcaș,ro ROU,FW,Genoa,it Serie A,27,1996,2.1,0,11,5,45.5,5.18,2.36,0.00,0.00,12.9,0,0,0,2.1,2.1,0.19,-2.1,-2.1,Matches
2250,2249.0,2164,Jarell Quansah,eng ENG,DF,Liverpool,eng Premier League,20,2003,13.2,2,6,4,66.7,0.45,0.30,0.33,0.50,10.6,0,0,0,1.0,1.0,0.17,+1.0,+1.0,Matches
2251,2250.0,2165,Domingos Quina,pt POR,MF,Udinese,it Serie A,23,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2252,2251.0,2166,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,28,1995,29.5,5,38,16,42.1,1.29,0.54,0.13,0.31,16.9,0,0,0,3.5,3.4,0.09,+1.5,+1.6,Matches
2253,2252.0,2167,Uroš Račić,rs SRB,MF,Sassuolo,it Serie A,25,1998,9.1,1,17,4,23.5,1.87,0.44,0.06,0.25,24.3,2,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
2254,2253.0,2168,Nemanja Radonjić,rs SRB,"MF,FW",Torino,it Serie A,27,1996,4.2,3,12,5,41.7,2.89,1.20,0.25,0.60,16.6,0,0,0,1.7,1.7,0.14,+1.3,+1.3,Matches
2255,2254.0,2169,Nemanja Radonjić,rs SRB,"MF,DF",Mallorca,es La Liga,27,1996,3.9,0,10,7,70.0,2.55,1.78,0.00,0.00,17.5,0,0,0,1.6,1.6,0.16,-1.6,-1.6,Matches
2256,2255.0,2170,Aleksandar Radovanović,rs SRB,DF,Almería,es La Liga,29,1993,6.3,0,1,0,0.0,0.16,0.00,0.00,,10.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
2257,2256.0,2171,Ionuț Radu,ro ROU,GK,Bournemouth,eng Premier League,26,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2258,2257.0,2172,Boris Radunović,rs SRB,GK,Cagliari,it Serie A,27,1996,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2259,2258.0,2173,Hamza Rafia,tn TUN,MF,Lecce,it Serie A,24,1999,13.4,1,16,3,18.8,1.20,0.22,0.06,0.33,22.6,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
2260,2259.0,2174,Abdellah Raihani,ma MAR,FW,Atlético Madrid,es La Liga,19,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2261,2260.0,2175,Antonio Raillo,es ESP,DF,Mallorca,es La Liga,31,1991,24.4,3,29,9,31.0,1.19,0.37,0.10,0.33,17.3,0,0,0,1.4,1.4,0.05,+1.6,+1.6,Matches
2262,2261.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2263,2262.0,2176,Luca Raimund,de GER,"FW,MF",Stuttgart,de Bundesliga,18,2005,0.3,0,2,0,0.0,6.00,0.00,0.00,,7.2,0,0,0,0.9,0.9,0.55,-0.9,-0.9,Matches
2264,2263.0,2177,Predrag Rajković,rs SRB,GK,Mallorca,es La Liga,27,1995,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2265,2264.0,2178,Jesurun Rak Sakyi,eng ENG,"MF,FW",Crystal Palace,eng Premier League,20,2002,1.5,0,5,1,20.0,3.31,0.66,0.00,0.00,15.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
2266,2265.0,2179,Ivan Rakitić,hr CRO,MF,Sevilla,es La Liga,35,1988,15.8,2,32,7,21.9,2.02,0.44,0.06,0.29,26.9,3,0,0,1.3,1.3,0.04,+0.7,+0.7,Matches
2267,2266.0,2180,Ylber Ramadani,al ALB,MF,Lecce,it Serie A,27,1996,33.0,1,31,6,19.4,0.94,0.18,0.03,0.17,27.6,0,0,0,1.0,1.0,0.03,0.0,0.0,Matches
2268,2267.0,2181,Largie Ramazani,be BEL,"FW,MF",Almería,es La Liga,22,2001,17.3,3,40,12,30.0,2.32,0.69,0.08,0.25,17.5,1,0,0,4.7,4.7,0.12,-1.7,-1.7,Matches
2269,2268.0,2182,Benito Ramírez,es ESP,"FW,MF",Las Palmas,es La Liga,28,1995,4.3,1,10,3,30.0,2.34,0.70,0.10,0.33,22.5,1,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
2270,2269.0,2183,Sandro Ramírez,es ESP,FW,Las Palmas,es La Liga,28,1995,20.1,1,51,18,35.3,2.54,0.90,0.02,0.06,21.7,5,0,1,3.7,3.0,0.06,-2.7,-2.0,Matches
2271,2270.0,2184,Chris Ramos,es ESP,"FW,MF",Cádiz,es La Liga,26,1997,29.0,5,76,27,35.5,2.62,0.93,0.07,0.19,12.0,0,0,0,10.1,10.1,0.13,-5.1,-5.1,Matches
2272,2271.0,2185,Gonçalo Ramos,pt POR,FW,Paris S-G,fr Ligue 1,22,2001,15.8,11,54,20,37.0,3.42,1.27,0.19,0.50,13.2,0,1,1,10.9,10.2,0.19,+0.1,-0.2,Matches
2273,2272.0,2186,Sergio Ramos,es ESP,DF,Sevilla,es La Liga,37,1986,28.0,3,28,11,39.3,1.00,0.39,0.11,0.27,18.9,5,0,0,1.9,1.9,0.07,+1.1,+1.1,Matches
2274,2273.0,2187,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,25,1998,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2275,2274.0,2188,Aaron Ramsey,eng ENG,"MF,FW",Burnley,eng Premier League,20,2003,5.9,0,6,2,33.3,1.02,0.34,0.00,0.00,16.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
2276,2275.0,2189,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,eng Premier League,22,2001,9.5,1,19,4,21.1,2.00,0.42,0.05,0.25,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
2277,2276.0,2190,Luca Ranieri,it ITA,DF,Fiorentina,it Serie A,24,1999,22.9,2,10,3,30.0,0.44,0.13,0.20,0.67,8.8,0,0,0,0.9,0.9,0.09,+1.1,+1.1,Matches
2278,2277.0,2191,Filippo Ranocchia,it ITA,"MF,DF",Empoli,it Serie A,22,2001,5.3,0,6,2,33.3,1.13,0.38,0.00,0.00,26.6,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
2279,2278.0,2192,Grant Ranos,am ARM,"MF,FW",Gladbach,de Bundesliga,20,2003,0.5,0,3,0,0.0,5.51,0.00,0.00,,17.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
2280,2279.0,2193,Raphinha,br BRA,"FW,MF",Barcelona,es La Liga,26,1996,15.2,6,58,20,34.5,3.82,1.32,0.09,0.25,19.8,10,1,1,7.4,6.6,0.12,-1.4,-1.6,Matches
2281,2280.0,2194,Nicolai Rapp,de GER,DF,Werder Bremen,de Bundesliga,26,1996,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2282,2281.0,2195,Elba Rashani,xk KVX,"MF,FW",Clermont Foot,fr Ligue 1,30,1993,13.1,2,17,5,29.4,1.30,0.38,0.12,0.40,16.8,0,0,0,2.1,2.1,0.13,-0.1,-0.1,Matches
2283,2282.0,2196,Marcus Rashford,eng ENG,FW,Manchester Utd,eng Premier League,25,1997,25.2,7,60,19,31.7,2.38,0.75,0.08,0.26,16.8,1,2,2,7.4,5.8,0.10,-0.4,-0.8,Matches
2284,2283.0,2197,Giacomo Raspadori,it ITA,"FW,MF",Napoli,it Serie A,23,2000,17.6,5,60,24,40.0,3.41,1.36,0.08,0.21,18.8,4,0,1,5.9,4.5,0.07,-0.9,+0.5,Matches
2285,2284.0,2198,Andrei Ratiu,ro ROU,"DF,MF",Rayo Vallecano,es La Liga,25,1998,7.0,0,6,1,16.7,0.86,0.14,0.00,0.00,16.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
2286,2285.0,2199,Raúl,es ESP,FW,Osasuna,es La Liga,22,2000,15.1,6,33,12,36.4,2.19,0.80,0.18,0.50,11.6,0,0,0,4.9,4.9,0.15,+1.1,+1.1,Matches
2287,2286.0,2200,David Raum,de GER,DF,RB Leipzig,de Bundesliga,25,1998,30.4,2,14,4,28.6,0.46,0.13,0.14,0.50,20.3,4,0,0,0.8,0.8,0.05,+1.2,+1.2,Matches
2288,2287.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2289,2288.0,2201,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,23,1999,5.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2290,2289.0,2202,David Raya,es ESP,GK,Arsenal,eng Premier League,27,1995,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2291,2290.0,2203,Tim Ream,us USA,DF,Fulham,eng Premier League,35,1987,16.7,1,1,1,100.0,0.06,0.06,1.00,1.00,1.3,0,0,0,1.0,1.0,0.96,0.0,0.0,Matches
2292,2291.0,2204,Abderrahman Rebbach,dz ALG,"FW,MF",Alavés,es La Liga,24,1998,8.0,1,17,4,23.5,2.12,0.50,0.06,0.25,19.4,1,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
2293,2292.0,2205,Nathan Redmond,eng ENG,"FW,MF",Burnley,eng Premier League,29,1994,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2294,2293.0,2206,Harrison Reed,eng ENG,MF,Fulham,eng Premier League,28,1995,14.7,0,9,2,22.2,0.61,0.14,0.00,0.00,23.6,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
2295,2294.0,2207,Sergio Reguilón,es ESP,DF,Manchester Utd,eng Premier League,26,1996,4.6,0,4,0,0.0,0.87,0.00,0.00,,18.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
2296,2295.0,2208,Sergio Reguilón,es ESP,DF,Brentford,eng Premier League,26,1996,12.4,0,13,1,7.7,1.05,0.08,0.00,0.00,18.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
2297,2296.0,2209,Bobby Reid,jm JAM,FW,Fulham,eng Premier League,30,1993,15.8,6,33,8,24.2,2.09,0.51,0.18,0.75,15.7,0,0,0,4.6,4.6,0.14,+1.4,+1.4,Matches
2298,2297.0,2210,Tijjani Reijnders,nl NED,MF,Milan,it Serie A,25,1998,31.3,3,44,9,20.5,1.40,0.29,0.07,0.33,20.1,0,0,0,3.2,3.2,0.07,-0.2,-0.2,Matches
2299,2298.0,2211,Pepe Reina,es ESP,GK,Villarreal,es La Liga,40,1982,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2300,2299.0,2212,Reinier,br BRA,"MF,FW",Frosinone,it Serie A,21,2002,11.8,2,14,6,42.9,1.19,0.51,0.14,0.33,16.3,0,0,0,1.3,1.3,0.09,+0.7,+0.7,Matches
2301,2300.0,2213,Rocco Reitz,de GER,MF,Gladbach,de Bundesliga,21,2002,23.7,6,33,14,42.4,1.39,0.59,0.18,0.43,17.3,0,0,0,3.7,3.7,0.11,+2.3,+2.3,Matches
2302,2301.0,2214,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,28,1995,36.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2303,2302.0,2215,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,18,2005,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2304,2303.0,2216,Mateo Retegui,it ITA,FW,Genoa,it Serie A,24,1999,24.6,7,62,22,35.5,2.52,0.89,0.10,0.27,14.3,0,1,1,5.8,5.0,0.08,+1.2,+1.0,Matches
2305,2304.0,2217,Marco Reus,de GER,"MF,FW",Dortmund,de Bundesliga,34,1989,17.8,6,42,20,47.6,2.36,1.12,0.14,0.30,14.2,8,0,0,6.5,6.5,0.16,-0.5,-0.5,Matches
2306,2305.0,2218,Elvis Rexhbeçaj,de GER,MF,Augsburg,de Bundesliga,25,1997,22.1,2,28,3,10.7,1.27,0.14,0.04,0.33,24.3,0,1,1,1.7,1.0,0.03,+0.3,0.0,Matches
2307,2306.0,2219,Gio Reyna,us USA,"FW,MF",Nott'ham Forest,eng Premier League,20,2002,2.6,0,5,2,40.0,1.91,0.77,0.00,0.00,21.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
2308,2307.0,2220,Gio Reyna,us USA,"MF,FW",Dortmund,de Bundesliga,20,2002,3.1,0,8,2,25.0,2.57,0.64,0.00,0.00,17.4,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
2309,2308.0,2221,Chadi Riad,ma MAR,DF,Betis,es La Liga,20,2003,24.0,0,11,5,45.5,0.46,0.21,0.00,0.00,11.1,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
2310,2309.0,2222,Alexsandro Ribeiro,br BRA,DF,Lille,fr Ligue 1,23,1999,24.7,0,17,2,11.8,0.69,0.08,0.00,0.00,10.9,0,0,0,2.0,2.0,0.12,-2.0,-2.0,Matches
2311,2310.0,2223,Rodrigo Ribeiro,pt POR,"MF,FW",Nott'ham Forest,eng Premier League,18,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2312,2311.0,2224,Samuele Ricci,it ITA,MF,Torino,it Serie A,21,2001,26.6,1,30,5,16.7,1.13,0.19,0.03,0.20,22.7,0,0,0,1.3,1.3,0.04,-0.3,-0.3,Matches
2313,2312.0,2225,Declan Rice,eng ENG,MF,Arsenal,eng Premier League,24,1999,35.8,7,58,20,34.5,1.62,0.56,0.12,0.35,20.4,2,0,0,3.3,3.3,0.06,+3.7,+3.7,Matches
2314,2313.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2315,2314.0,2226,Chris Richards,us USA,"DF,MF",Crystal Palace,eng Premier League,23,2000,23.3,1,11,3,27.3,0.47,0.13,0.09,0.33,10.0,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
2316,2315.0,2227,Amir Richardson,ma MAR,MF,Reims,fr Ligue 1,21,2002,15.0,3,17,8,47.1,1.13,0.53,0.18,0.38,18.8,0,0,0,1.6,1.6,0.10,+1.4,+1.4,Matches
2317,2316.0,2228,Richarlison,br BRA,FW,Tottenham,eng Premier League,26,1997,16.6,11,62,25,40.3,3.74,1.51,0.18,0.44,12.9,0,0,0,9.6,9.6,0.15,+1.4,+1.4,Matches
2318,2317.0,2229,Marco Richter,de GER,"MF,FW",Mainz 05,de Bundesliga,25,1997,8.0,1,38,9,23.7,4.77,1.13,0.03,0.11,21.2,4,0,0,1.9,1.9,0.05,-0.9,-0.9,Matches
2319,2318.0,2230,Diego Rico,es ESP,DF,Getafe,es La Liga,30,1993,28.2,0,18,5,27.8,0.64,0.18,0.00,0.00,27.0,0,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches
2320,2319.0,2231,Clemens Riedel,de GER,DF,Darmstadt 98,de Bundesliga,20,2003,8.4,0,8,3,37.5,0.95,0.36,0.00,0.00,21.6,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
2321,2320.0,2232,Fabian Rieder,ch SUI,MF,Rennes,fr Ligue 1,21,2002,4.1,1,5,2,40.0,1.23,0.49,0.20,0.50,23.7,2,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
2322,2321.0,2233,Jaïro Riedewald,nl NED,"MF,FW",Crystal Palace,eng Premier League,26,1996,2.6,0,1,0,0.0,0.38,0.00,0.00,,14.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
2323,2322.0,2234,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,34,1988,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2324,2323.0,2235,Luis Rioja,es ESP,"FW,MF",Alavés,es La Liga,29,1993,27.8,5,53,15,28.3,1.91,0.54,0.04,0.13,21.6,4,3,4,6.1,3.0,0.06,-1.1,-1.0,Matches
2325,2324.0,2236,Rémy Riou,fr FRA,GK,Lyon,fr Ligue 1,35,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2326,2325.0,2237,Rodrigo Riquelme,es ESP,"DF,MF",Atlético Madrid,es La Liga,23,2000,17.0,3,37,16,43.2,2.18,0.94,0.08,0.19,18.0,0,0,0,2.7,2.7,0.07,+0.3,+0.3,Matches
2327,2326.0,2238,Alberto Risco,es ESP,MF,Getafe,es La Liga,17,2005,1.5,0,2,1,50.0,1.31,0.66,0.00,0.00,8.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
2328,2327.0,2239,Mihailo Ristić,rs SRB,"DF,MF",Celta Vigo,es La Liga,27,1995,9.0,0,10,4,40.0,1.11,0.45,0.00,0.00,23.7,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
2329,2328.0,2240,Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,eng Premier League,33,1989,1.4,1,6,4,66.7,4.22,2.81,0.17,0.25,12.0,0,0,0,1.0,1.0,0.16,0.0,0.0,Matches
2330,2329.0,2241,Gorka Rivera Alonso,es ESP,DF,Getafe,es La Liga,18,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2331,2330.0,2242,Sergi Roberto,es ESP,"MF,DF",Barcelona,es La Liga,31,1992,9.6,3,10,4,40.0,1.05,0.42,0.30,0.75,12.5,0,0,0,1.7,1.7,0.17,+1.3,+1.3,Matches
2332,2331.0,2243,Lucas Robertone,ar ARG,MF,Almería,es La Liga,26,1997,26.5,0,37,13,35.1,1.40,0.49,0.00,0.00,28.1,3,0,0,1.0,1.0,0.03,-1.0,-1.0,Matches
2333,2332.0,2244,Connor Roberts,wls WAL,DF,Burnley,eng Premier League,27,1995,9.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2334,2333.0,2245,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,29,1994,18.8,3,12,6,50.0,0.64,0.32,0.25,0.50,12.5,0,0,0,1.9,1.9,0.16,+1.1,+1.1,Matches
2335,2334.0,2246,Antonee Robinson,us USA,DF,Fulham,eng Premier League,25,1997,36.3,0,16,7,43.8,0.44,0.19,0.00,0.00,22.9,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
2336,2335.0,2247,Jack Robinson,eng ENG,DF,Sheffield Utd,eng Premier League,29,1993,32.1,1,14,5,35.7,0.44,0.16,0.07,0.20,12.7,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
2337,2336.0,2248,Marc Roca,es ESP,MF,Betis,es La Liga,26,1996,22.0,2,20,7,35.0,0.91,0.32,0.10,0.29,24.3,0,0,0,1.1,1.1,0.06,+0.9,+0.9,Matches
2338,2337.0,2249,Sebastian Rode,de GER,MF,Eint Frankfurt,de Bundesliga,32,1990,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2339,2338.0,2250,Sergio Rodelas,es ESP,"FW,DF",Granada,es La Liga,18,2004,1.4,0,2,0,0.0,1.48,0.00,0.00,,27.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
2340,2339.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2341,2340.0,2251,Rodri,es ESP,MF,Manchester City,eng Premier League,27,1996,32.6,8,62,22,35.5,1.90,0.68,0.13,0.36,20.6,0,0,0,4.1,4.1,0.07,+3.9,+3.9,Matches
2342,2341.0,2252,Rodri,es ESP,"FW,MF",Betis,es La Liga,23,2000,11.7,0,18,5,27.8,1.54,0.43,0.00,0.00,18.6,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
2343,2342.0,2253,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Getafe,es La Liga,25,1998,10.7,2,34,9,26.5,3.16,0.84,0.06,0.22,24.9,4,0,0,1.5,1.5,0.04,+0.5,+0.5,Matches
2344,2343.0,2254,Damián Rodríguez,es ESP,MF,Celta Vigo,es La Liga,20,2003,2.9,0,1,0,0.0,0.35,0.00,0.00,,31.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
2345,2344.0,2255,Dani Rodríguez,es ESP,MF,Mallorca,es La Liga,35,1988,29.1,2,27,4,14.8,0.93,0.14,0.07,0.50,19.8,0,0,0,1.4,1.4,0.05,+0.6,+0.6,Matches
